timestamp,price,date
1577836800000,7195.153895430029,2020-01-01
1577923200000,7193.7546679601,2020-01-02
1578009600000,6963.853353983485,2020-01-03
1578096000000,7300.34693530511,2020-01-04
1578182400000,7351.377053166627,2020-01-05
1578268800000,7349.972248050628,2020-01-06
1578355200000,7734.675515785289,2020-01-07
1578441600000,8147.415237636371,2020-01-08
1578528000000,8045.789124592971,2020-01-09
1578614400000,7832.795643840387,2020-01-10
1578700800000,8180.513169803805,2020-01-11
1578787200000,8012.085781814529,2020-01-12
1578873600000,8171.401185320944,2020-01-13
1578960000000,8110.647964503772,2020-01-14
1579046400000,8801.871213137745,2020-01-15
1579132800000,8820.85010599613,2020-01-16
1579219200000,8720.91950137424,2020-01-17
1579305600000,8902.568995225329,2020-01-18
1579392000000,8906.902675151074,2020-01-19
1579478400000,8690.380569544623,2020-01-20
1579564800000,8631.253954333763,2020-01-21
1579651200000,8724.818622931474,2020-01-22
1579737600000,8665.436914096897,2020-01-23
1579824000000,8415.956027335538,2020-01-24
1579910400000,8432.096675789418,2020-01-25
1579996800000,8348.665665079325,2020-01-26
1580083200000,8595.728298493115,2020-01-27
1580169600000,8879.335548714553,2020-01-28
1580256000000,9320.805853868467,2020-01-29
1580342400000,9276.893821086494,2020-01-30
1580428800000,9509.80513557522,2020-01-31
1580515200000,9308.060285564778,2020-02-01
1580601600000,9363.22420680057,2020-02-02
1580688000000,9338.416631939404,2020-02-03
1580774400000,9308.91270229121,2020-02-04
1580860800000,9179.95928107711,2020-02-05
1580947200000,9592.18387389791,2020-02-06
1581033600000,9744.636578159387,2020-02-07
1581120000000,9799.448455824684,2020-02-08
1581206400000,9890.701658194865,2020-02-09
1581292800000,10148.379719131783,2020-02-10
1581379200000,9890.121224019967,2020-02-11
1581465600000,10226.925769215322,2020-02-12
1581552000000,10328.897565836414,2020-02-13
1581638400000,10221.260309201634,2020-02-14
1581724800000,10320.157140513991,2020-02-15
1581811200000,9894.136123789158,2020-02-16
1581897600000,9943.673602578743,2020-02-17
1581984000000,9723.605026422496,2020-02-18
1582070400000,10133.817417084678,2020-02-19
1582156800000,9618.409248250406,2020-02-20
1582243200000,9608.16918128246,2020-02-21
1582329600000,9673.011800270346,2020-02-22
1582416000000,9658.606058375473,2020-02-23
1582502400000,9946.716123467522,2020-02-24
1582588800000,9670.9608064677,2020-02-25
1582675200000,9345.342701734848,2020-02-26
1582761600000,8801.657129472504,2020-02-27
1582848000000,8781.175282202359,2020-02-28
1582934400000,8717.331431359424,2020-02-29
1583020800000,8552.989118581636,2020-03-01
1583107200000,8567.802248679225,2020-03-02
1583193600000,8905.876104262194,2020-03-03
1583280000000,8756.718576742549,2020-03-04
1583366400000,8758.646993191916,2020-03-05
1583452800000,9038.870323233425,2020-03-06
1583539200000,9135.84506603321,2020-03-07
1583625600000,8902.20195010789,2020-03-08
1583712000000,8041.365538071835,2020-03-09
1583798400000,7921.33200691072,2020-03-10
1583884800000,7906.731528510632,2020-03-11
1583971200000,7935.522040170545,2020-03-12
1584057600000,5142.990459018316,2020-03-13
1584144000000,5542.819542373153,2020-03-14
1584230400000,5214.189112383918,2020-03-15
1584316800000,5397.93335743919,2020-03-16
1584403200000,5032.501351487721,2020-03-17
1584489600000,5389.41577503409,2020-03-18
1584576000000,5376.280747845438,2020-03-19
1584662400000,6170.200600237675,2020-03-20
1584748800000,6195.603505257629,2020-03-21
1584835200000,6145.770891252399,2020-03-22
1584921600000,5859.647430299388,2020-03-23
1585008000000,6456.347485963419,2020-03-24
1585094400000,6730.173782371188,2020-03-25
1585180800000,6695.9006183977235,2020-03-26
1585267200000,6765.56207892991,2020-03-27
1585353600000,6397.826328325604,2020-03-28
1585440000000,6255.000398693634,2020-03-29
1585526400000,5915.337154791903,2020-03-30
1585612800000,6403.141235565223,2020-03-31
1585699200000,6421.70541388854,2020-04-01
1585785600000,6640.797666310131,2020-04-02
1585872000000,6807.897017890566,2020-04-03
1585958400000,6732.852018394612,2020-04-04
1586044800000,6859.424923721944,2020-04-05
1586131200000,6788.048272605917,2020-04-06
1586217600000,7297.635558289496,2020-04-07
1586304000000,7196.782202442051,2020-04-08
1586390400000,7342.291601148024,2020-04-09
1586476800000,7294.488875121554,2020-04-10
1586563200000,6864.694257006497,2020-04-11
1586649600000,6878.781212589853,2020-04-12
1586736000000,6913.158787469097,2020-04-13
1586822400000,6857.538537511484,2020-04-14
1586908800000,6860.17853570111,2020-04-15
1586995200000,6629.431738031291,2020-04-16
1587081600000,7059.92622475854,2020-04-17
1587168000000,7035.261503989225,2020-04-18
1587254400000,7242.5109294929825,2020-04-19
1587340800000,7127.511949689152,2020-04-20
1587427200000,6856.456278354705,2020-04-21
1587513600000,6842.038597634602,2020-04-22
1587600000000,7109.995291181778,2020-04-23
1587686400000,7382.793144116689,2020-04-24
1587772800000,7495.393587498606,2020-04-25
1587859200000,7538.557687279841,2020-04-26
1587945600000,7683.867415083342,2020-04-27
1588032000000,7774.281554448049,2020-04-28
1588118400000,7758.230255185947,2020-04-29
1588204800000,8744.430287016561,2020-04-30
1588291200000,8610.63580374089,2020-05-01
1588377600000,8824.818413551968,2020-05-02
1588464000000,8966.307014689282,2020-05-03
1588550400000,8888.671912686868,2020-05-04
1588636800000,8884.407813577056,2020-05-05
1588723200000,9003.240557621584,2020-05-06
1588809600000,9144.68703972007,2020-05-07
1588896000000,9959.166416261767,2020-05-08
1588982400000,9821.81131529702,2020-05-09
1589068800000,9566.777187205966,2020-05-10
1589155200000,8752.617087745832,2020-05-11
